#{"t_start": 1747916898.2736607, "env_id": "None"}
r,l,t
-26.5,500,4.596737
-25.4,500,4.670692
-23.5,500,4.74365
-24.9,500,4.821801
-23.1,500,4.916992
-25.3,500,4.992967
-23.9,500,5.063926
-24.1,500,5.135902
-27.3,500,5.226214
-26.0,500,5.305192
-24.6,500,5.942211
-27.2,500,6.619248
-25.4,500,7.289257
-24.0,500,7.955861
-22.7,500,8.601895
-23.0,500,9.21807
-24.8,500,9.891274
-23.6,500,10.54147
-25.5,500,11.173121
-23.7,500,11.83956
0.0,500,12.182361
0.0,500,12.47531
0.0,500,12.807268
0.0,500,13.117431
0.0,500,13.458166
-23.8,500,14.178
-25.7,500,14.840089
-21.9,500,15.53009
-23.4,500,16.198173
-25.3,500,16.864779
-22.9,500,17.488484
-24.1,500,18.193594
-24.1,500,18.9827
-23.5,500,19.719562
-23.5,500,20.484124
-21.6,500,21.174745
-23.5,500,21.872663
-22.8,500,22.589329
-23.0,500,23.312913
-23.7,500,24.032502
-22.0,500,24.756126
-23.5,500,28.562159
-22.0,500,29.383761
-22.4,500,30.270635
-23.1,500,31.188848
0.0,500,31.625022
0.0,500,32.117422
0.0,500,32.662722
0.0,500,33.32435
0.0,500,34.168147
-22.3,500,35.513044
-21.4,500,36.826419
-22.4,500,38.161294
-22.7,500,39.125301
-21.4,500,40.35259
-21.4,500,41.366103
-23.5,500,42.640111
-24.6,500,43.761652
-21.3,500,44.984063
-22.6,500,46.163041
-21.2,500,47.202166
-23.7,500,48.001347
-22.1,500,55.30333
-22.5,500,56.124739
-20.2,500,56.99466
-21.3,500,57.839018
-21.2,500,62.109225
-20.4,500,62.87279
-20.6,500,63.786263
-18.7,500,64.576841
0.0,500,64.920647
0.0,500,65.356405
0.0,500,66.055462
0.0,500,66.522655
0.0,500,66.92286
-21.8,500,67.80729
-23.2,500,68.641358
-21.4,500,69.433464
-21.3,500,70.217558
-21.0,500,71.099587
-21.8,500,72.112548
-23.5,500,73.042571
-20.9,500,74.383949
-21.6,500,75.592326
-20.8,500,76.781138
-21.8,500,77.807199
-19.8,500,79.076594
-22.4,500,80.156946
-21.8,500,81.365457
-20.4,500,82.541492
-21.0,500,83.545223
-19.5,500,84.804891
-19.4,500,85.86357
-19.4,500,86.999127
-20.6,500,87.772521
0.0,500,88.143446
0.0,500,88.473305
0.0,500,88.809259
0.0,500,89.182166
