#{"t_start": 1747937682.0211399, "env_id": "None"}
r,l,t
-247.0,500,4.273752
-101.0,500,4.494775
-183.0,500,4.822212
-267.0,500,5.122388
-176.0,500,5.34016
-143.0,500,5.732745
-65.0,500,6.062348
-74.0,500,6.355181
-213.0,500,6.633896
-29.0,500,6.840041
100.0,500,21.884869
594.0,500,34.889902
551.0,500,47.399742
519.0,500,59.744933
502.0,500,72.799985
550.0,500,86.535024
688.0,500,99.439687
767.0,500,112.889952
652.0,500,129.067281
547.0,500,145.469616
596.0,500,146.044827
630.0,500,146.549764
674.0,500,147.069898
652.0,500,147.620012
720.0,500,148.129862
